Threads,time_seconds,Time,Energy,CO2eq,travelled
2,111.06,0:01:58,0.0041,0.5857,0.0054
4,68.29,0:01:12,0.0028,0.3952,0.0037
6,54.72,0:00:57,0.0025,0.3485,0.0032
8,49.90,0:00:52,0.0024,0.3438,0.0032
10,47.95,0:00:50,0.0026,0.3617,0.0034
12,38.72,0:00:40,0.0025,0.3488,0.0032
14,33.71,0:00:35,0.0023,0.3227,0.0030
16,28.84,0:00:30,0.0021,0.2944,0.0027
18,26.49,0:00:28,0.0020,0.2873,0.0027
20,23.78,0:00:25,0.0020,0.2794,0.0026
22,29.75,0:00:31,0.0022,0.3161,0.0029
24,29.52,0:00:31,0.0022,0.3119,0.0029
26,29.66,0:00:31,0.0022,0.3164,0.0029
28,30.61,0:00:32,0.0023,0.3246,0.0030
30,31.89,0:00:33,0.0024,0.3345,0.0031
32,29.62,0:00:31,0.0023,0.3245,0.0030
34,28.44,0:00:29,0.0022,0.3179,0.0030
36,27.23,0:00:28,0.0022,0.3129,0.0029
38,25.54,0:00:26,0.0022,0.3049,0.0028
40,24.11,0:00:25,0.0021,0.2980,0.0028
