Treads,App,TimeCT,Energy,CO2eq,travelled
2,mri,0:00:00,0.0,0.0002,0.0
4,mri,0:00:00,0.0,0.0002,0.0
6,mri,0:00:00,0.0,0.0002,0.0
8,mri,0:00:00,0.0,0.0002,0.0
10,mri,0:00:01,0.0,0.0007,0.0
12,mri,0:00:00,0.0,0.0004,0.0
14,mri,0:00:00,0.0,0.0002,0.0
16,mri,0:00:00,0.0,0.0005,0.0
