Treads|Time|Energy|CO2eq|travelled
2|0:00:38|0,0016|0,7452|0,0069
4|0:00:22|0,0009|0,4428|0,0041
6|0:00:16|0,0007|0,3437|0,0032
8|0:00:14|0,0007|0,3126|0,0029
10|0:00:12|0,0006|0,2902|0,0027
12|0:00:11|0,0004|0,1961|0,0018
14|0:00:11|0,0004|0,1850|0,0017
16|0:00:10|0,0004|0,1830|0,0017
18|0:00:10|0,0004|0,1837|0,0017
20|0:00:11|0,0004|0,1840|0,0017
22|0:00:11|0,0004|0,1866|0,0017
24|0:00:11|0,0004|0,1882|0,0018
26|0:00:12|0,0007|0,3246|0,0030
28|0:00:11|0,0004|0,1909|0,0018
30|0:00:12|0,0004|0,2025|0,0019
32|0:00:12|0,0004|0,2017|0,0019
34|0:00:12|0,0007|0,3460|0,0032
36|0:00:12|0,0004|0,2031|0,0019
38|0:00:12|0,0004|0,2069|0,0019
40|0:00:12|0,0007|0,3358|0,0031
42|0:00:12|0,0008|0,3716|0,0035
44|0:00:12|0,0008|0,3662|0,0034
46|0:00:12|0,0007|0,3340|0,0031
48|0:00:12|0,0008|0,3783|0,0035
50|0:00:12|0,0004|0,2061|0,0019
52|0:00:11|0,0004|0,1909|0,0018
54|0:00:11|0,0004|0,2018|0,0019
56|0:00:12|0,0008|0,3754|0,0035
58|0:00:11|0,0004|0,1976|0,0018
60|0:00:12|0,0004|0,2049|0,0019
62|0:00:11|0,0004|0,1998|0,0019
64|0:00:11|0,0004|0,2026|0,0019
66|0:00:10|0,0004|0,1836|0,0017
68|0:00:11|0,0004|0,2006|0,0019
70|0:00:12|0,0004|0,2053|0,0019
72|0:00:11|0,0004|0,2044|0,0019
74|0:00:12|0,0008|0,3948|0,0037
76|0:00:13|0,0008|0,4005|0,0037
78|0:00:12|0,0008|0,3968|0,0037
80|0:00:13|0,0009|0,4046|0,0038
82|0:00:12|0,0008|0,3632|0,0034
84|0:00:12|0,0008|0,3995|0,0037
86|0:00:11|0,0004|0,2029|0,0019
88|0:00:11|0,0004|0,1990|0,0019
