Treads|Time|Energy|CO2eq|travelled
2|0:05:43|0,0250|11,8898|0,1106
4|0:03:25|0,0163|7,7606|0,0722
6|0:02:43|0,0138|6,5666|0,0611
8|0:02:22|0,0126|5,9642|0,0555
10|0:02:09|0,0120|5,6859|0,0529
12|0:02:04|0,0117|5,5608|0,0517
14|0:01:52|0,0107|5,1044|0,0475
16|0:01:36|0,0098|4,6442|0,0432
18|0:01:31|0,0096|4,5784|0,0426
20|0:01:20|0,0089|4,2335|0,0394
22|0:01:18|0,0089|4,2265|0,0393
24|0:01:08|0,0081|3,8607|0,0359
26|0:01:29|0,0097|4,6084|0,0429
28|0:01:23|0,0092|4,3856|0,0408
30|0:01:28|0,0097|4,5885|0,0427
32|0:01:22|0,0091|4,3289|0,0403
34|0:01:19|0,0090|4,2729|0,0397
36|0:01:27|0,0094|4,4480|0,0414
38|0:01:33|0,0102|4,8300|0,0449
40|0:01:18|0,0089|4,2407|0,0394
42|0:01:16|0,0086|4,0747|0,0379
44|0:01:11|0,0083|3,9637|0,0369
46|0:01:11|0,0084|3,9911|0,0371
48|0:01:08|0,0080|3,7881|0,0352
