Treads|Time|Energy|CO2eq|travelled
2|0:03:19|0,0066|3,1200|0,0290
4|0:01:44|0,0036|1,7239|0,0160
6|0:01:11|0,0027|1,2993|0,0121
8|0:00:53|0,0022|1,0624|0,0099
10|0:00:45|0,0020|0,9696|0,0090
12|0:00:34|0,0020|0,9577|0,0089
14|0:00:29|0,0018|0,8571|0,0080
16|0:00:26|0,0017|0,7888|0,0073
18|0:00:24|0,0016|0,7616|0,0071
20|0:00:21|0,0015|0,7085|0,0066
22|0:00:30|0,0020|0,9466|0,0088
24|0:00:28|0,0019|0,8979|0,0084
26|0:00:26|0,0018|0,8466|0,0079
28|0:00:25|0,0017|0,8096|0,0075
30|0:00:23|0,0016|0,7826|0,0073
32|0:00:22|0,0015|0,7209|0,0067
34|0:00:21|0,0015|0,7158|0,0067
36|0:00:20|0,0015|0,6897|0,0064
38|0:00:19|0,0014|0,6547|0,0061
40|0:00:18|0,0013|0,6392|0,0059
