Treads|Time|Energy|CO2eq|travelled
2|0:03:15|0,0065|3,0831|0,0287
4|0:01:43|0,0036|1,7243|0,0160
6|0:01:10|0,0027|1,2674|0,0118
8|0:00:55|0,0023|1,0866|0,0101
10|0:00:45|0,0021|0,9826|0,0091
12|0:00:45|0,0026|1,2187|0,0113
14|0:00:29|0,0018|0,8557|0,0080
16|0:00:26|0,0017|0,8053|0,0075
18|0:00:23|0,0016|0,7669|0,0071
20|0:00:22|0,0015|0,7175|0,0067
22|0:00:31|0,0021|0,9796|0,0091
24|0:00:29|0,0019|0,9225|0,0086
26|0:00:27|0,0018|0,8696|0,0081
28|0:00:25|0,0017|0,8259|0,0077
30|0:00:23|0,0017|0,7904|0,0074
32|0:00:22|0,0016|0,7552|0,0070
34|0:00:21|0,0015|0,7248|0,0067
36|0:00:20|0,0015|0,7050|0,0066
38|0:00:19|0,0014|0,6745|0,0063
40|0:00:18|0,0013|0,6349|0,0059
