Treads|Time|Energy|CO2eq|travelled
2|0:02:19|0,0044|2,0755|0,0193
4|0:01:20|0,0035|1,6596|0,0154
6|0:01:03|0,0030|1,4078|0,0131
8|0:00:52|0,0026|1,2482|0,0116
10|0:00:46|0,0025|1,1693|0,0109
12|0:00:42|0,0024|1,1295|0,0105
14|0:00:39|0,0023|1,1102|0,0103
16|0:00:38|0,0024|1,1313|0,0105
18|0:00:37|0,0024|1,1599|0,0108
20|0:00:36|0,0025|1,1865|0,0110
22|0:00:49|0,0032|1,5351|0,0143
24|0:00:47|0,0032|1,5202|0,0141
26|0:00:47|0,0033|1,5539|0,0145
28|0:00:47|0,0033|1,5587|0,0145
30|0:00:47|0,0033|1,5827|0,0147
32|0:00:48|0,0035|1,6434|0,0153
34|0:00:47|0,0034|1,6227|0,0151
36|0:00:49|0,0036|1,6990|0,0158
38|0:00:52|0,0038|1,8229|0,0170
40|0:00:50|0,0038|1,7843|0,0166
