Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:39,0.0053,2.5611,0.0238
4,streamcluster,0:03:01,0.0031,1.4825,0.0138
6,streamcluster,0:02:13,0.0024,1.1535,0.0107
8,streamcluster,0:01:48,0.0020,0.9829,0.0091
10,streamcluster,0:01:32,0.0018,0.8778,0.0082
12,streamcluster,0:01:19,0.0017,0.7952,0.0074
14,streamcluster,0:01:11,0.0016,0.7510,0.0070
16,streamcluster,0:01:05,0.0015,0.7331,0.0068
18,streamcluster,0:01:02,0.0015,0.7265,0.0068
20,streamcluster,0:01:01,0.0016,0.7477,0.0070
22,streamcluster,0:00:59,0.0016,0.7924,0.0074
24,streamcluster,0:00:57,0.0017,0.7985,0.0074
26,streamcluster,0:00:56,0.0017,0.7991,0.0074
28,streamcluster,0:00:54,0.0016,0.7853,0.0073
30,streamcluster,0:00:53,0.0016,0.7694,0.0072
32,streamcluster,0:00:52,0.0016,0.7728,0.0072
34,streamcluster,0:00:50,0.0016,0.7562,0.0070
36,streamcluster,0:00:46,0.0015,0.7162,0.0067
38,streamcluster,0:00:48,0.0016,0.7548,0.0070
40,streamcluster,0:00:47,0.0016,0.7498,0.0070
