Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:39,0.0053,2.5472,0.0237
4,streamcluster,0:03:01,0.0031,1.4686,0.0137
6,streamcluster,0:02:14,0.0024,1.1491,0.0107
8,streamcluster,0:01:48,0.0020,0.9704,0.0090
10,streamcluster,0:01:32,0.0018,0.8716,0.0081
12,streamcluster,0:01:19,0.0016,0.7917,0.0074
14,streamcluster,0:01:11,0.0016,0.7478,0.0070
16,streamcluster,0:01:05,0.0015,0.7270,0.0068
18,streamcluster,0:01:02,0.0015,0.7186,0.0067
20,streamcluster,0:01:01,0.0015,0.7367,0.0069
22,streamcluster,0:00:58,0.0016,0.7793,0.0072
24,streamcluster,0:00:57,0.0016,0.7789,0.0072
26,streamcluster,0:00:56,0.0016,0.7886,0.0073
28,streamcluster,0:00:54,0.0016,0.7791,0.0072
30,streamcluster,0:00:52,0.0016,0.7572,0.0070
32,streamcluster,0:00:51,0.0016,0.7627,0.0071
34,streamcluster,0:00:50,0.0016,0.7571,0.0070
36,streamcluster,0:00:47,0.0015,0.7143,0.0066
38,streamcluster,0:00:49,0.0016,0.7578,0.0070
40,streamcluster,0:00:49,0.0016,0.7640,0.0071
