Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:38,0.0053,0.5183,0.0048
4,streamcluster,0:03:01,0.0031,0.3006,0.0028
6,streamcluster,0:02:14,0.0024,0.2341,0.0022
8,streamcluster,0:01:48,0.0020,0.1974,0.0018
10,streamcluster,0:01:32,0.0018,0.1770,0.0016
12,streamcluster,0:01:19,0.0016,0.1609,0.0015
14,streamcluster,0:01:11,0.0015,0.1497,0.0014
16,streamcluster,0:01:05,0.0015,0.1482,0.0014
18,streamcluster,0:01:02,0.0015,0.1471,0.0014
20,streamcluster,0:01:01,0.0015,0.1507,0.0014
22,streamcluster,0:00:58,0.0016,0.1593,0.0015
24,streamcluster,0:00:56,0.0016,0.1588,0.0015
26,streamcluster,0:00:56,0.0016,0.1615,0.0015
28,streamcluster,0:00:54,0.0016,0.1549,0.0014
30,streamcluster,0:00:53,0.0016,0.1562,0.0015
32,streamcluster,0:00:51,0.0016,0.1560,0.0015
34,streamcluster,0:00:50,0.0016,0.1543,0.0014
36,streamcluster,0:00:48,0.0015,0.1515,0.0014
38,streamcluster,0:00:50,0.0016,0.1601,0.0015
40,streamcluster,0:00:48,0.0016,0.1566,0.0015
