Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:39,0.0053,0.5195,0.0048
4,streamcluster,0:02:59,0.0030,0.2961,0.0028
6,streamcluster,0:02:14,0.0024,0.2350,0.0022
8,streamcluster,0:01:48,0.0020,0.1998,0.0019
10,streamcluster,0:01:32,0.0018,0.1784,0.0017
12,streamcluster,0:01:19,0.0016,0.1604,0.0015
14,streamcluster,0:01:11,0.0015,0.1518,0.0014
16,streamcluster,0:01:05,0.0015,0.1473,0.0014
18,streamcluster,0:01:02,0.0015,0.1461,0.0014
20,streamcluster,0:01:01,0.0015,0.1493,0.0014
22,streamcluster,0:00:58,0.0016,0.1589,0.0015
24,streamcluster,0:00:56,0.0016,0.1583,0.0015
26,streamcluster,0:00:55,0.0016,0.1603,0.0015
28,streamcluster,0:00:54,0.0016,0.1586,0.0015
30,streamcluster,0:00:53,0.0016,0.1593,0.0015
32,streamcluster,0:00:52,0.0016,0.1570,0.0015
34,streamcluster,0:00:50,0.0016,0.1551,0.0014
36,streamcluster,0:00:48,0.0015,0.1512,0.0014
38,streamcluster,0:00:48,0.0016,0.1533,0.0014
40,streamcluster,0:00:51,0.0017,0.1633,0.0015
