Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:34,0.0052,2.4941,0.0232
4,streamcluster,0:02:59,0.0030,1.4586,0.0136
6,streamcluster,0:02:14,0.0024,1.1522,0.0107
8,streamcluster,0:01:48,0.0020,0.9767,0.0091
10,streamcluster,0:01:32,0.0018,0.8762,0.0082
12,streamcluster,0:01:19,0.0016,0.7935,0.0074
14,streamcluster,0:01:11,0.0016,0.7523,0.0070
16,streamcluster,0:01:05,0.0015,0.7195,0.0067
18,streamcluster,0:01:02,0.0015,0.7200,0.0067
20,streamcluster,0:01:01,0.0015,0.7351,0.0068
22,streamcluster,0:00:59,0.0016,0.7878,0.0073
24,streamcluster,0:00:56,0.0016,0.7773,0.0072
26,streamcluster,0:00:55,0.0016,0.7829,0.0073
28,streamcluster,0:00:54,0.0016,0.7689,0.0072
30,streamcluster,0:00:53,0.0016,0.7658,0.0071
32,streamcluster,0:00:50,0.0015,0.7452,0.0069
34,streamcluster,0:00:51,0.0016,0.7642,0.0071
36,streamcluster,0:00:49,0.0016,0.7462,0.0069
38,streamcluster,0:00:48,0.0016,0.7525,0.0070
40,streamcluster,0:00:49,0.0016,0.7702,0.0072
