Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:34,0.0052,0.5070,0.0047
4,streamcluster,0:02:59,0.0030,0.2963,0.0028
6,streamcluster,0:02:14,0.0024,0.2337,0.0022
8,streamcluster,0:01:48,0.0020,0.1978,0.0018
10,streamcluster,0:01:32,0.0018,0.1785,0.0017
12,streamcluster,0:01:19,0.0016,0.1622,0.0015
14,streamcluster,0:01:10,0.0016,0.1527,0.0014
16,streamcluster,0:01:05,0.0015,0.1490,0.0014
18,streamcluster,0:01:02,0.0015,0.1472,0.0014
20,streamcluster,0:01:00,0.0015,0.1497,0.0014
22,streamcluster,0:00:59,0.0016,0.1605,0.0015
24,streamcluster,0:00:58,0.0017,0.1634,0.0015
26,streamcluster,0:00:56,0.0016,0.1608,0.0015
28,streamcluster,0:00:54,0.0016,0.1580,0.0015
30,streamcluster,0:00:52,0.0016,0.1559,0.0015
32,streamcluster,0:00:52,0.0016,0.1562,0.0015
34,streamcluster,0:00:50,0.0016,0.1545,0.0014
36,streamcluster,0:00:48,0.0015,0.1501,0.0014
38,streamcluster,0:00:49,0.0016,0.1575,0.0015
40,streamcluster,0:00:50,0.0016,0.1604,0.0015
