Treads|Time|Energy|CO2eq|travelled
2|0:01:05|0,0049|2,3042|0,0214
4|0:00:42|0,0033|1,5891|0,0148
6|0:00:35|0,0029|1,3840|0,0129
8|0:00:33|0,0028|1,3524|0,0126
10|0:00:34|0,0029|1,3910|0,0129
12|0:00:33|0,0030|1,4151|0,0132
14|0:00:28|0,0026|1,2260|0,0114
16|0:00:25|0,0024|1,1515|0,0107
18|0:00:24|0,0024|1,1296|0,0105
20|0:00:22|0,0022|1,0609|0,0099
22|0:00:19|0,0020|0,9613|0,0089
24|0:00:18|0,0020|0,9486|0,0088
26|0:00:21|0,0022|1,0606|0,0099
28|0:00:21|0,0022|1,0489|0,0098
30|0:00:21|0,0022|1,0374|0,0096
32|0:00:24|0,0024|1,1529|0,0107
34|0:00:24|0,0025|1,1883|0,0111
36|0:00:24|0,0025|1,1734|0,0109
38|0:00:23|0,0024|1,1300|0,0105
40|0:00:22|0,0023|1,0818|0,0101
42|0:00:22|0,0024|1,1195|0,0104
44|0:00:21|0,0023|1,0818|0,0101
46|0:00:20|0,0022|1,0570|0,0098
48|0:00:20|0,0022|1,0217|0,0095
