Treads,time_seconds,Time,Energy,CO2eq,travelled
2,125.94,0:02:12,0.0032,1.5008,0.0140
4,69.83,0:01:13,0.0020,0.9288,0.0086
6,54.01,0:00:56,0.0016,0.7816,0.0073
8,50.21,0:00:52,0.0016,0.7656,0.0071
10,63.39,0:01:05,0.0019,0.8993,0.0084
12,55.67,0:00:57,0.0017,0.8271,0.0077
14,52.17,0:00:54,0.0017,0.7950,0.0074
16,52.73,0:00:54,0.0017,0.8172,0.0076
