Treads|Time|Energy|CO2eq|travelled
2|0:04:37|0,0097|4,6246|0,0430
4|0:02:42|0,0063|2,9734|0,0277
6|0:02:23|0,0061|2,8883|0,0269
8|0:02:19|0,0066|3,1355|0,0292
10|0:02:27|0,0076|3,5917|0,0334
12|0:02:02|0,0076|3,6008|0,0335
14|0:01:49|0,0070|3,3429|0,0311
16|0:01:32|0,0065|3,0641|0,0285
18|0:01:23|0,0062|2,9619|0,0276
20|0:01:15|0,0062|2,9218|0,0272
22|0:01:39|0,0072|3,4076|0,0317
24|0:01:35|0,0070|3,3231|0,0309
26|0:01:45|0,0075|3,5469|0,0330
28|0:01:40|0,0073|3,4881|0,0324
30|0:01:57|0,0081|3,8559|0,0359
32|0:01:44|0,0078|3,7133|0,0345
34|0:01:42|0,0077|3,6769|0,0342
36|0:01:32|0,0073|3,4574|0,0322
38|0:01:35|0,0077|3,6448|0,0339
40|0:01:30|0,0076|3,5968|0,0335
