Treads|Time|Energy|CO2eq|travelled
1|0:01:30|0,0023|1,1039|0,0103
2|0:00:46|0,0013|0,5945|0,0055
3|0:00:31|0,0009|0,4152|0,0039
4|0:00:24|0,0007|0,3330|0,0031
5|0:00:20|0,0006|0,2762|0,0026
6|0:00:18|0,0005|0,2526|0,0023
7|0:00:17|0,0005|0,2469|0,0023
8|0:00:17|0,0005|0,2491|0,0023
9|0:00:21|0,0006|0,2946|0,0027
10|0:00:20|0,0006|0,2808|0,0026
11|0:00:19|0,0006|0,2688|0,0025
12|0:00:18|0,0005|0,2579|0,0024
13|0:00:18|0,0005|0,2527|0,0024
14|0:00:17|0,0005|0,2499|0,0023
15|0:00:17|0,0005|0,2528|0,0024
16|0:00:18|0,0005|0,2592|0,0024
