 Treads   App        Time Time CT  Energy   CO2eq  km travelled by car
      2   bfs    2,564587 0:00:05  0,0003  0,0470               0,0004
      4   bfs    3,091232 0:00:05  0,0004  0,0530               0,0005
      6   bfs    3,639768 0:00:06  0,0004  0,0579               0,0005
      8   bfs    3,684060 0:00:06  0,0004  0,0587               0,0005
     10   bfs    3,493909 0:00:06  0,0004  0,0572               0,0005
     12   bfs    3,948674 0:00:06  0,0004  0,0614               0,0006
     14   bfs         NaN 0:00:00  0,0000  0,0000               0,0000
     16   bfs    6,352484 0:00:09  0,0006  0,0838               0,0008
     18   bfs    6,719746 0:00:09  0,0006  0,0913               0,0008
     20   bfs    7,049577 0:00:09  0,0007  0,0929               0,0009
     22   bfs    8,044609 0:00:10  0,0007  0,1043               0,0010
     24   bfs    8,108495 0:00:10  0,0007  0,1062               0,0010
     26   bfs    9,600629 0:00:12  0,0009  0,1238               0,0012
     28   bfs   10,299013 0:00:12  0,0009  0,1261               0,0012
     30   bfs   10,392279 0:00:13  0,0009  0,1265               0,0012
     32   bfs   10,555221 0:00:13  0,0009  0,1280               0,0012
     34   bfs   10,376144 0:00:13  0,0009  0,1282               0,0012
     36   bfs   10,984655 0:00:13  0,0009  0,1330               0,0012
     38   bfs   11,566617 0:00:14  0,0011  0,1517               0,0014
     40   bfs   12,059318 0:00:14  0,0011  0,1607               0,0015
     42   bfs   12,971555 0:00:15  0,0013  0,1891               0,0018
     44   bfs   12,967657 0:00:15  0,0013  0,1863               0,0017
     46   bfs   13,440285 0:00:16  0,0014  0,1944               0,0018
     48   bfs   14,255785 0:00:16  0,0014  0,2043               0,0019
      2   bfs    2,279133 0:00:04  0,0003  0,0441               0,0004
      4   bfs    2,492210 0:00:05  0,0003  0,0465               0,0004
      6   bfs    2,859720 0:00:05  0,0003  0,0493               0,0005
      8   bfs    3,203352 0:00:05  0,0004  0,0535               0,0005
     10   bfs    3,524259 0:00:06  0,0004  0,0568               0,0005
     12   bfs    3,845312 0:00:06  0,0004  0,0603               0,0006
