 Treads   App        Time Time CT  Energy   CO2eq  km travelled by car
     34   bfs   17,150818 0:00:20  0,0009  0,1321               0,0012
     36   bfs   17,983997 0:00:21  0,0010  0,1383               0,0013
     38   bfs   18,806982 0:00:22  0,0010  0,1439               0,0013
     40   bfs   19,445057 0:00:23  0,0010  0,1486               0,0014
      2   bfs    3,996321 0:00:07  0,0002  0,0300               0,0003
      4   bfs    4,388432 0:00:08  0,0002  0,0311               0,0003
      6   bfs    5,127716 0:00:08  0,0002  0,0339               0,0003
      8   bfs    4,883467 0:00:08  0,0002  0,0318               0,0003
     10   bfs    4,980605 0:00:08  0,0002  0,0339               0,0003
     12   bfs    7,851329 0:00:11  0,0003  0,0434               0,0004
     14   bfs    8,442110 0:00:12  0,0003  0,0453               0,0004
     16   bfs    9,446129 0:00:13  0,0004  0,0520               0,0005
     18   bfs   10,016934 0:00:13  0,0004  0,0544               0,0005
     20   bfs   10,978277 0:00:11  0,0003  0,0429               0,0004
     22   bfs   13,276276 0:00:17  0,0007  0,1032               0,0010
     24   bfs   14,082348 0:00:17  0,0008  0,1099               0,0010
     26   bfs   13,742200 0:00:17  0,0008  0,1085               0,0010
     28   bfs   14,918027 0:00:18  0,0008  0,1162               0,0011
     30   bfs   15,482723 0:00:19  0,0009  0,1206               0,0011
     32   bfs   16,988894 0:00:20  0,0009  0,1303               0,0012
     34   bfs   17,715832 0:00:21  0,0009  0,1338               0,0012
     36   bfs   18,494680 0:00:22  0,0010  0,1390               0,0013
     38   bfs   19,674578 0:00:23  0,0009  0,1302               0,0012
     40   bfs   19,784466 0:00:23  0,0009  0,1321               0,0012
      2   bfs    4,014282 0:00:07  0,0002  0,0289               0,0003
      4   bfs    4,800486 0:00:08  0,0002  0,0327               0,0003
      6   bfs    4,569595 0:00:05  0,0001  0,0193               0,0002
      8   bfs    4,900593 0:00:08  0,0002  0,0339               0,0003
     10   bfs    4,977557 0:00:08  0,0002  0,0340               0,0003
     12   bfs    7,943226 0:00:11  0,0003  0,0456               0,0004
     14   bfs    8,816642 0:00:12  0,0004  0,0499               0,0005
     16   bfs    9,390741 0:00:13  0,0004  0,0521               0,0005
     18   bfs   10,497464 0:00:14  0,0004  0,0548               0,0005
     20   bfs   10,922649 0:00:14  0,0004  0,0583               0,0005
     22   bfs   13,523680 0:00:17  0,0008  0,1067               0,0010
     24   bfs   13,924759 0:00:17  0,0008  0,1097               0,0010
     26   bfs   14,008178 0:00:17  0,0008  0,1107               0,0010
     28   bfs   14,453979 0:00:18  0,0008  0,1133               0,0011
     30   bfs   15,755995 0:00:19  0,0009  0,1222               0,0011
     32   bfs   16,472525 0:00:20  0,0009  0,1260               0,0012
     34   bfs   17,072466 0:00:20  0,0009  0,1308               0,0012
     36   bfs   17,872971 0:00:21  0,0010  0,1363               0,0013
     38   bfs   18,625170 0:00:22  0,0010  0,1427               0,0013
     40   bfs   19,039906 0:00:22  0,0010  0,1463               0,0014
      2   bfs    3,679251 0:00:07  0,0002  0,0291               0,0003
      4   bfs    4,257210 0:00:07  0,0002  0,0314               0,0003
      6   bfs    4,659830 0:00:08  0,0002  0,0325               0,0003
      8   bfs    4,981360 0:00:08  0,0002  0,0335               0,0003
     10   bfs    5,240536 0:00:09  0,0002  0,0333               0,0003
     12   bfs    8,064448 0:00:11  0,0003  0,0431               0,0004
     14   bfs    8,630441 0:00:12  0,0003  0,0479               0,0004
     16   bfs    9,408600 0:00:13  0,0004  0,0510               0,0005
     18   bfs   10,322742 0:00:14  0,0004  0,0547               0,0005
     20   bfs   11,091035 0:00:14  0,0004  0,0564               0,0005
     22   bfs   13,403917 0:00:17  0,0007  0,1055               0,0010
     24   bfs   13,708226 0:00:17  0,0008  0,1067               0,0010
     26   bfs   13,976679 0:00:17  0,0008  0,1100               0,0010
     28   bfs   15,023261 0:00:18  0,0008  0,1178               0,0011
     30   bfs   15,305929 0:00:19  0,0008  0,1192               0,0011
