Treads|Time|Energy|CO2eq|travelled
2|0:01:03|0,0047|0,6639|0,0062
4|0:00:47|0,0037|0,5298|0,0049
6|0:00:45|0,0037|0,5255|0,0049
8|0:00:44|0,0038|0,5345|0,0050
10|0:00:44|0,0039|0,5581|0,0052
12|0:00:45|0,0040|0,5682|0,0053
14|0:00:39|0,0036|0,5163|0,0048
16|0:00:34|0,0033|0,4653|0,0043
18|0:00:31|0,0032|0,4482|0,0042
20|0:00:28|0,0030|0,4241|0,0039
22|0:00:25|0,0018|0,2613|0,0024
24|0:00:23|0,0026|0,3755|0,0035
26|0:00:26|0,0028|0,4013|0,0037
28|0:00:27|0,0030|0,4202|0,0039
30|0:00:28|0,0031|0,4414|0,0041
32|0:00:29|0,0032|0,4479|0,0042
34|0:00:30|0,0033|0,4629|0,0043
36|0:00:31|0,0034|0,4768|0,0044
38|0:00:30|0,0032|0,4586|0,0043
40|0:00:28|0,0031|0,4461|0,0042
42|0:00:27|0,0030|0,4260|0,0040
44|0:00:26|0,0029|0,4171|0,0039
46|0:00:25|0,0029|0,4072|0,0038
48|0:00:24|0,0027|0,3889|0,0036
