Treads,time_seconds,Time,Energy,CO2eq,travelled
2,331.36,0:05:33,0.0076,1.0800,0.0100
4,178.57,0:03:00,0.0045,0.6386,0.0059
6,130.71,0:02:11,0.0036,0.5076,0.0047
8,109.46,0:01:50,0.0032,0.4534,0.0042
10,139.77,0:02:21,0.0039,0.5509,0.0051
12,121.86,0:02:03,0.0035,0.4948,0.0046
14,111.10,0:01:52,0.0033,0.4646,0.0043
16,106.74,0:01:47,0.0032,0.4535,0.0042
