Treads,time_seconds,Time,Energy,CO2eq,travelled
2,479.06,0:08:03,0.0157,7.4375,0.0692
4,268.89,0:04:31,0.0097,4.5899,0.0427
6,194.63,0:03:16,0.0078,3.6827,0.0343
8,150.03,0:02:31,0.0067,3.1804,0.0296
10,125.03,0:02:06,0.0062,2.9523,0.0275
12,105.44,0:01:46,0.0066,3.1325,0.0291
14,94.01,0:01:35,0.0063,2.9794,0.0277
16,79.70,0:01:20,0.0056,2.6828,0.0250
18,73.07,0:01:14,0.0055,2.6000,0.0242
20,64.06,0:01:05,0.0052,2.4611,0.0229
22,97.19,0:01:38,0.0065,3.0706,0.0286
24,88.40,0:01:29,0.0061,2.8965,0.0269
26,88.33,0:01:29,0.0060,2.8578,0.0266
28,77.26,0:01:18,0.0057,2.7120,0.0252
30,80.79,0:01:22,0.0059,2.8059,0.0261
32,72.93,0:01:14,0.0057,2.6897,0.0250
34,71.40,0:01:12,0.0057,2.6910,0.0250
36,65.96,0:01:07,0.0054,2.5758,0.0240
38,64.88,0:01:05,0.0054,2.5696,0.0239
40,57.28,0:00:58,0.0051,2.4249,0.0226
