Treads|Time|Energy|CO2eq|travelled
2|0:08:07|0,0159|7,5704|0,0704
4|0:04:33|0,0097|4,6107|0,0429
6|0:03:17|0,0078|3,6976|0,0344
8|0:02:31|0,0067|3,1923|0,0297
10|0:02:06|0,0063|2,9880|0,0278
12|0:01:47|0,0067|3,1785|0,0296
14|0:01:33|0,0062|2,9527|0,0275
16|0:01:21|0,0058|2,7322|0,0254
18|0:01:11|0,0053|2,5367|0,0236
20|0:01:05|0,0052|2,4832|0,0231
22|0:01:38|0,0065|3,0752|0,0286
24|0:01:29|0,0061|2,9069|0,0270
26|0:01:31|0,0061|2,9209|0,0272
28|0:01:21|0,0059|2,8251|0,0263
30|0:01:21|0,0059|2,7863|0,0259
32|0:01:13|0,0056|2,6629|0,0248
34|0:01:11|0,0056|2,6522|0,0247
36|0:01:07|0,0055|2,5994|0,0242
38|0:01:06|0,0054|2,5852|0,0240
40|0:00:59|0,0052|2,4561|0,0228
