Treads|Time|Energy|CO2eq|travelled
2|0:01:50|0,0038|1,8193|0,0169
4|0:01:00|0,0023|1,0774|0,0100
6|0:00:42|0,0018|0,8352|0,0078
8|0:00:33|0,0015|0,7162|0,0067
10|0:00:28|0,0014|0,6590|0,0061
12|0:00:23|0,0014|0,6749|0,0063
14|0:00:20|0,0013|0,6037|0,0056
16|0:00:18|0,0012|0,5714|0,0053
18|0:00:16|0,0012|0,5481|0,0051
20|0:00:14|0,0011|0,5333|0,0050
22|0:00:20|0,0014|0,6493|0,0060
24|0:00:19|0,0013|0,6028|0,0056
26|0:00:18|0,0013|0,6035|0,0056
28|0:00:18|0,0013|0,5964|0,0055
30|0:00:18|0,0013|0,6053|0,0056
32|0:00:16|0,0006|0,2811|0,0026
34|0:00:16|0,0012|0,5688|0,0053
36|0:00:15|0,0012|0,5604|0,0052
38|0:00:14|0,0012|0,5513|0,0051
40|0:00:14|0,0012|0,5468|0,0051
