"DataFrame","Threads","time_seconds.Media","time_seconds.SD","CO2eq.Media","CO2eq.SD"
"out_bt.C.x",24, 67.67000000,  1.44215888,3.0451400,1.3020886
"out_cg.C.x",24, 22.19000000,  0.25346488,1.0021600,0.4298631
"out_ft.C.x",24, 16.19400000,  0.17927013,0.8005100,0.2765416
"out_mg.C.x",24, 63.44600000,  0.31231039,2.8977800,0.9991794
"out_sp.C.x", 4,224.72400000,  3.99237384,7.2990600,2.5279907
"out_ua.C.x",48, 72.24900000,  1.29015460,3.0730900,1.3105614
"PO",12,  0.51757800,  0.05416851,0.0000000,0.0000000
"ST",14,  0.46432700,  0.05770155,0.0000000,0.0000000
"FFT", 2, 57.93292900,  0.11262368,1.4801364,0.7118937
"HPCG", 8, 25.36694700,  0.69115044,0.7906200,0.3428670
"JA", 8, 45.27328400,  1.46924520,1.4782500,0.6256730
"LULESH", 6, 45.40300000,  1.45881268,1.4356600,0.6206178
