 Time in seconds    Time  Energy   CO2eq  km travelled by car  Treads
          367,70 0:06:25  0,0216 10,2409               0,0953       1
          190,07 0:03:19  0,0116  5,4961               0,0511       2
          130,45 0:02:17  0,0082  3,8911               0,0362       3
           99,20 0:01:44  0,0064  3,0469               0,0283       4
           80,41 0:01:24  0,0053  2,5253               0,0235       5
           65,95 0:01:09  0,0045  2,1387               0,0199       6
           57,10 0:01:00  0,0040  1,9126               0,0178       7
           50,57 0:00:53  0,0037  1,7461               0,0162       8
           45,64 0:00:48  0,0034  1,6232               0,0151       9
           41,69 0:00:44  0,0032  1,5231               0,0142      10
           47,74 0:00:50  0,0041  1,9402               0,0180      11
           41,99 0:00:44  0,0037  1,7777               0,0165      12
           29,59 0:00:31  0,0028  1,3302               0,0124      13
           28,03 0:00:30  0,0027  1,2781               0,0119      14
           25,49 0:00:27  0,0025  1,1948               0,0111      15
           24,82 0:00:26  0,0025  1,1849               0,0110      16
           22,82 0:00:24  0,0024  1,1185               0,0104      17
           21,45 0:00:23  0,0022  1,0605               0,0099      18
           21,19 0:00:22  0,0022  1,0637               0,0099      19
           20,15 0:00:21  0,0022  1,0379               0,0097      20
           30,37 0:00:32  0,0031  1,4793               0,0138      21
           29,13 0:00:31  0,0030  1,4320               0,0133      22
           28,11 0:00:30  0,0029  1,3911               0,0129      23
           26,86 0:00:28  0,0028  1,3337               0,0124      24
           25,98 0:00:27  0,0027  1,2923               0,0120      25
           24,97 0:00:26  0,0026  1,2530               0,0117      26
           24,15 0:00:26  0,0026  1,2211               0,0114      27
           23,43 0:00:25  0,0025  1,1913               0,0111      28
           22,60 0:00:24  0,0024  1,1583               0,0108      29
           22,35 0:00:24  0,0024  1,1477               0,0107      30
           21,28 0:00:23  0,0023  1,0949               0,0102      31
           20,85 0:00:22  0,0023  1,0832               0,0101      32
           20,18 0:00:21  0,0022  1,0569               0,0098      33
           19,76 0:00:21  0,0022  1,0412               0,0097      34
           19,21 0:00:20  0,0021  1,0208               0,0095      35
           18,83 0:00:20  0,0021  1,0048               0,0093      36
           18,34 0:00:19  0,0021  0,9886               0,0092      37
           17,97 0:00:19  0,0021  0,9743               0,0091      38
           17,45 0:00:19  0,0020  0,9537               0,0089      39
           17,08 0:00:18  0,0019  0,9146               0,0085      40
