Treads|Time|Energy|CO2eq|travelled
2|0:00:43|0,0032|1,5254|0,0142
4|0:00:34|0,0025|1,2060|0,0112
6|0:00:30|0,0023|1,1110|0,0103
8|0:00:26|0,0021|1,0041|0,0093
10|0:00:26|0,0022|1,0455|0,0097
12|0:00:27|0,0023|1,0900|0,0101
14|0:00:25|0,0022|1,0665|0,0099
16|0:00:25|0,0023|1,0709|0,0100
18|0:00:26|0,0024|1,1255|0,0105
20|0:00:26|0,0024|1,1603|0,0108
22|0:00:26|0,0024|1,1595|0,0108
24|0:00:26|0,0025|1,1721|0,0109
26|0:00:26|0,0025|1,1752|0,0109
28|0:00:27|0,0025|1,1919|0,0111
30|0:00:27|0,0025|1,1893|0,0111
32|0:00:26|0,0024|1,1563|0,0108
34|0:00:28|0,0026|1,2224|0,0114
36|0:00:27|0,0025|1,1865|0,0110
38|0:00:27|0,0025|1,1981|0,0111
40|0:00:26|0,0024|1,1582|0,0108
42|0:00:27|0,0026|1,2169|0,0113
44|0:00:27|0,0026|1,2265|0,0114
46|0:00:27|0,0026|1,2287|0,0114
48|0:00:28|0,0026|1,2474|0,0116
