Treads,time_seconds,Time,Energy,CO2eq,travelled
2,5.05161,0:00:05,0.0001,0.0196,0.0002
4,2.69732,0:00:03,0.0001,0.0118,0.0001
6,2.13451,0:00:02,0.0001,0.0099,0.0001
8,1.80508,0:00:02,0.0001,0.0089,0.0001
10,2.32957,0:00:02,0.0001,0.0110,0.0001
12,2.04017,0:00:02,0.0001,0.0099,0.0001
14,1.90722,0:00:02,0.0001,0.0094,0.0001
16,1.94117,0:00:02,0.0001,0.0095,0.0001
