Treads|Execution Time|Time|Energy|CO2eq|travelled
2|50,209456|0:00:50|0,0017|0,8014|0,0075
4|38,122303|0:00:38|0,0014|0,6449|0,0060
6|35,110162|0:00:35|0,0013|0,6128|0,0057
8|34,060308|0:00:34|0,0012|0,5865|0,0055
10|33,058984|0:00:33|0,0011|0,5364|0,0050
12|33,471226|0:00:34|0,0012|0,5574|0,0052
14|33,671011|0:00:34|0,0012|0,5760|0,0054
16|32,878365|0:00:33|0,0012|0,5749|0,0053
18|33,417203|0:00:33|0,0013|0,5991|0,0056
20|33,141337|0:00:33|0,0012|0,5844|0,0054
22|34,346561|0:00:34|0,0015|0,7033|0,0065
24|34,304270|0:00:34|0,0015|0,6932|0,0064
26|33,853853|0:00:34|0,0013|0,6171|0,0057
28|33,843263|0:00:34|0,0013|0,6186|0,0058
30|34,322826|0:00:34|0,0015|0,7129|0,0066
32|34,421185|0:00:34|0,0015|0,7330|0,0068
34|34,330393|0:00:34|0,0015|0,7048|0,0066
36|35,185623|0:00:35|0,0016|0,7418|0,0069
38|35,276572|0:00:35|0,0015|0,7331|0,0068
40|35,116028|0:00:35|0,0016|0,7597|0,0071
