Treads|Execution Time|Time|Energy|CO2eq|travelled
2|3,13843|0:00:03|0,0001|0,0507|0,0005
4|1,50813|0:00:02|0,0001|0,0351|0,0003
6|1,07450|0:00:01|0,0001|0,0265|0,0002
8|0,84086|0:00:01|0,0001|0,0248|0,0002
10|0,67819|0:00:01|0,0000|0,0000|0,0000
12|0,58601|0:00:01|0,0000|0,0000|0,0000
14|0,57178|0:00:01|0,0000|0,0000|0,0000
16|0,49730|0:00:01|0,0000|0,0000|0,0000
18|0,55555|0:00:01|0,0000|0,0000|0,0000
20|0,37984|0:00:00|0,0000|0,0000|0,0000
22|0,60789|0:00:01|0,0000|0,0000|0,0000
24|0,56995|0:00:01|0,0000|0,0000|0,0000
26|0,52774|0:00:10|0,0005|0,2262|0,0021
28|0,50008|0:00:01|0,0000|0,0000|0,0000
30|0,47170|0:00:00|0,0000|0,0000|0,0000
32|0,44228|0:00:00|0,0000|0,0000|0,0000
34|0,42939|0:00:00|0,0000|0,0000|0,0000
36|0,40980|0:00:00|0,0000|0,0000|0,0000
38|0,39603|0:00:00|0,0000|0,0000|0,0000
40|0,38560|0:00:00|0,0000|0,0000|0,0000
