Treads|Execution Time|Time|Energy|CO2eq|travelled
2|3,16188|0:00:03|0,0001|0,0150|0,0001
4|1,50653|0:00:02|0,0001|0,0102|0,0001
6|1,06956|0:00:01|0,0001|0,0083|0,0001
8|0,84625|0:00:01|0,0000|0,0060|0,0001
10|0,67032|0:00:01|0,0000|0,0000|0,0000
12|0,57478|0:00:01|0,0000|0,0000|0,0000
14|0,50531|0:00:01|0,0000|0,0000|0,0000
16|0,44764|0:00:00|0,0000|0,0000|0,0000
18|0,40629|0:00:00|0,0000|0,0000|0,0000
20|0,41119|0:00:00|0,0000|0,0000|0,0000
22|0,59677|0:00:01|0,0000|0,0000|0,0000
24|0,56662|0:00:01|0,0000|0,0000|0,0000
26|0,53018|0:00:01|0,0000|0,0000|0,0000
28|0,49588|0:00:01|0,0000|0,0000|0,0000
30|0,47299|0:00:00|0,0000|0,0000|0,0000
32|0,44731|0:00:00|0,0000|0,0000|0,0000
34|0,42569|0:00:00|0,0000|0,0000|0,0000
36|0,41339|0:00:00|0,0000|0,0000|0,0000
38|0,39358|0:00:00|0,0000|0,0000|0,0000
40|0,38449|0:00:00|0,0000|0,0000|0,0000
