Treads|Execution Time|Time|Energy|CO2eq|travelled
2|3,26248|0:00:03|0,0001|0,0668|0,0006
4|1,90163|0:00:02|0,0001|0,0422|0,0004
6|1,19706|0:00:01|0,0001|0,0302|0,0003
8|1,06527|0:00:01|0,0001|0,0277|0,0003
10|0,89545|0:00:01|0,0000|0,0226|0,0002
12|0,74088|0:00:01|0,0000|0,0000|0,0000
14|0,60922|0:00:01|0,0000|0,0000|0,0000
16|0,52351|0:00:01|0,0000|0,0000|0,0000
18|0,46918|0:00:00|0,0000|0,0000|0,0000
20|0,51572|0:00:01|0,0000|0,0000|0,0000
22|0,50939|0:00:01|0,0000|0,0000|0,0000
24|0,64516|0:00:01|0,0000|0,0000|0,0000
26|0,59249|0:00:01|0,0000|0,0000|0,0000
28|0,60243|0:00:01|0,0000|0,0000|0,0000
30|0,52370|0:00:01|0,0000|0,0000|0,0000
32|0,52254|0:00:01|0,0000|0,0000|0,0000
34|0,46505|0:00:00|0,0000|0,0000|0,0000
36|0,44530|0:00:00|0,0000|0,0000|0,0000
38|0,43873|0:00:00|0,0000|0,0000|0,0000
40|0,41367|0:00:00|0,0000|0,0000|0,0000
42|0,41998|0:00:00|0,0000|0,0000|0,0000
44|0,38968|0:00:00|0,0000|0,0000|0,0000
46|0,43506|0:00:00|0,0000|0,0000|0,0000
48|0,40142|0:00:00|0,0000|0,0000|0,0000
50|0,43212|0:00:00|0,0000|0,0000|0,0000
52|0,44336|0:00:00|0,0000|0,0000|0,0000
54|0,40287|0:00:00|0,0000|0,0000|0,0000
56|0,57162|0:00:01|0,0000|0,0000|0,0000
58|0,38821|0:00:00|0,0000|0,0000|0,0000
60|0,41391|0:00:00|0,0000|0,0000|0,0000
62|0,39696|0:00:00|0,0000|0,0000|0,0000
64|0,45441|0:00:00|0,0000|0,0000|0,0000
66|0,53592|0:00:01|0,0000|0,0000|0,0000
68|0,44857|0:00:00|0,0000|0,0000|0,0000
70|0,41226|0:00:00|0,0000|0,0000|0,0000
72|0,42679|0:00:00|0,0000|0,0000|0,0000
74|0,44091|0:00:00|0,0000|0,0000|0,0000
76|0,49554|0:00:01|0,0000|0,0000|0,0000
78|0,44337|0:00:00|0,0000|0,0000|0,0000
80|0,45248|0:00:00|0,0000|0,0000|0,0000
82|0,69298|0:00:01|0,0000|0,0000|0,0000
84|0,81586|0:00:01|0,0000|0,0000|0,0000
86|0,48684|0:00:00|0,0000|0,0000|0,0000
88|0,69720|0:00:01|0,0000|0,0000|0,0000
