Treads,time_seconds,Time,Energy,CO2eq,travelled
2,56.61,0:01:03,0.0047,2.2372,0.0208
4,43.65,0:00:47,0.0037,1.7776,0.0165
6,41.92,0:00:45,0.0037,1.7601,0.0164
8,41.80,0:00:44,0.0038,1.7930,0.0167
10,42.20,0:00:44,0.0039,1.8605,0.0173
12,42.63,0:00:45,0.0040,1.9133,0.0178
14,37.00,0:00:39,0.0036,1.7264,0.0161
16,32.62,0:00:34,0.0033,1.5811,0.0147
18,29.68,0:00:31,0.0031,1.4954,0.0139
20,26.28,0:00:28,0.0029,1.3901,0.0129
22,24.48,0:00:26,0.0028,1.3532,0.0126
24,21.96,0:00:23,0.0027,1.2588,0.0117
26,24.78,0:00:26,0.0029,1.3765,0.0128
28,25.14,0:00:27,0.0029,1.4006,0.0130
30,26.73,0:00:28,0.0031,1.4674,0.0136
32,27.53,0:00:29,0.0032,1.4983,0.0139
34,28.80,0:00:30,0.0033,1.5547,0.0145
36,29.64,0:00:31,0.0033,1.5849,0.0147
38,28.05,0:00:29,0.0032,1.5251,0.0142
40,27.13,0:00:28,0.0032,1.4973,0.0139
42,25.47,0:00:27,0.0030,1.4318,0.0133
44,24.50,0:00:26,0.0029,1.3949,0.0130
46,23.07,0:00:24,0.0028,1.3316,0.0124
48,22.47,0:00:24,0.0027,1.2963,0.0121
