Treads|Time|Energy|CO2eq|travelled
2|0:04:15|0,0190|9,0142|0,0839
4|0:03:57|0,0186|8,8208|0,0821
6|0:04:22|0,0214|10,1575|0,0945
8|0:04:58|0,0250|11,8753|0,1105
10|0:05:27|0,0282|13,3903|0,1246
12|0:05:46|0,0303|14,3880|0,1338
14|0:05:16|0,0283|13,4253|0,1249
16|0:04:28|0,0246|11,7048|0,1089
18|0:04:47|0,0271|12,8513|0,1195
20|0:03:39|0,0215|10,2271|0,0951
22|0:03:17|0,0205|9,7233|0,0904
24|0:03:09|0,0204|9,6982|0,0902
26|0:03:23|0,0213|10,1409|0,0943
28|0:03:52|0,0234|11,1189|0,1034
30|0:03:59|0,0239|11,3543|0,1056
32|0:03:58|0,0240|11,3864|0,1059
34|0:04:19|0,0255|12,0949|0,1125
36|0:04:41|0,0271|12,8604|0,1196
38|0:04:34|0,0265|12,6025|0,1172
40|0:04:10|0,0252|11,9799|0,1114
42|0:04:22|0,0262|12,4431|0,1157
44|0:03:55|0,0243|11,5390|0,1073
46|0:03:45|0,0237|11,2391|0,1045
48|0:03:46|0,0238|11,3260|0,1054
