Treads|Time|Energy|CO2eq|travelled
2|0:05:34|0,0076|3,6200|0,0337
4|0:03:00|0,0045|2,1509|0,0200
6|0:02:12|0,0036|1,7100|0,0159
8|0:01:51|0,0032|1,5318|0,0142
10|0:02:20|0,0039|1,8409|0,0171
12|0:02:03|0,0035|1,6517|0,0154
14|0:01:52|0,0033|1,5545|0,0145
16|0:01:46|0,0032|1,5017|0,0140
