Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:57,0.0126,6.0677,0.0564
4,streamcluster,0:03:09,0.0071,3.3929,0.0316
6,streamcluster,0:02:21,0.0055,2.6412,0.0246
8,streamcluster,0:02:14,0.0054,2.5937,0.0241
10,streamcluster,0:02:14,0.0055,2.6470,0.0246
12,streamcluster,0:02:14,0.0056,2.6839,0.0250
14,streamcluster,0:02:14,0.0057,2.7288,0.0254
16,streamcluster,0:02:15,0.0058,2.7711,0.0258
18,streamcluster,0:02:15,0.0058,2.7930,0.0260
20,streamcluster,0:02:15,0.0058,2.7859,0.0259
22,streamcluster,0:02:16,0.0059,2.8141,0.0262
24,streamcluster,0:02:16,0.0058,2.8002,0.0260
26,streamcluster,0:02:16,0.0060,2.8755,0.0267
28,streamcluster,0:02:15,0.0060,2.8705,0.0267
30,streamcluster,0:02:13,0.0061,2.9301,0.0273
32,streamcluster,0:02:08,0.0060,2.9012,0.0270
34,streamcluster,0:02:00,0.0058,2.7744,0.0258
36,streamcluster,0:01:46,0.0052,2.4896,0.0232
38,streamcluster,0:01:31,0.0045,2.1686,0.0202
40,streamcluster,0:01:31,0.0046,2.1952,0.0204
42,streamcluster,0:01:33,0.0047,2.2536,0.0210
44,streamcluster,0:01:45,0.0052,2.5209,0.0235
46,streamcluster,0:01:32,0.0047,2.2714,0.0211
48,streamcluster,0:01:34,0.0049,2.3379,0.0217
