Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:57,0.0126,1.2404,0.0115
4,streamcluster,0:03:09,0.0070,0.6908,0.0064
6,streamcluster,0:02:21,0.0055,0.5392,0.0050
8,streamcluster,0:02:14,0.0054,0.5293,0.0049
10,streamcluster,0:02:14,0.0055,0.5409,0.0050
12,streamcluster,0:02:14,0.0056,0.5486,0.0051
14,streamcluster,0:02:14,0.0057,0.5575,0.0052
16,streamcluster,0:02:15,0.0057,0.5651,0.0053
18,streamcluster,0:02:15,0.0058,0.5713,0.0053
20,streamcluster,0:02:15,0.0058,0.5700,0.0053
22,streamcluster,0:02:16,0.0059,0.5764,0.0054
24,streamcluster,0:02:16,0.0058,0.5731,0.0053
26,streamcluster,0:02:15,0.0059,0.5766,0.0054
28,streamcluster,0:02:15,0.0061,0.5977,0.0056
30,streamcluster,0:02:14,0.0061,0.6031,0.0056
32,streamcluster,0:02:07,0.0060,0.5869,0.0055
34,streamcluster,0:02:01,0.0058,0.5739,0.0053
36,streamcluster,0:01:33,0.0046,0.4495,0.0042
38,streamcluster,0:01:34,0.0047,0.4599,0.0043
40,streamcluster,0:01:42,0.0050,0.4963,0.0046
42,streamcluster,0:01:33,0.0047,0.4622,0.0043
44,streamcluster,0:01:28,0.0045,0.4423,0.0041
46,streamcluster,0:01:30,0.0046,0.4529,0.0042
48,streamcluster,0:01:31,0.0047,0.4616,0.0043
