Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:57,0.0126,1.2417,0.0116
4,streamcluster,0:03:09,0.0071,0.6935,0.0065
6,streamcluster,0:02:21,0.0055,0.5405,0.0050
8,streamcluster,0:02:14,0.0054,0.5299,0.0049
10,streamcluster,0:02:14,0.0055,0.5398,0.0050
12,streamcluster,0:02:14,0.0056,0.5492,0.0051
14,streamcluster,0:02:14,0.0057,0.5568,0.0052
16,streamcluster,0:02:15,0.0057,0.5589,0.0052
18,streamcluster,0:02:15,0.0058,0.5733,0.0053
20,streamcluster,0:02:15,0.0058,0.5706,0.0053
22,streamcluster,0:02:16,0.0058,0.5753,0.0054
24,streamcluster,0:02:16,0.0058,0.5731,0.0053
26,streamcluster,0:02:15,0.0059,0.5838,0.0054
28,streamcluster,0:02:14,0.0060,0.5942,0.0055
30,streamcluster,0:02:14,0.0061,0.6046,0.0056
32,streamcluster,0:02:10,0.0061,0.6008,0.0056
34,streamcluster,0:02:02,0.0059,0.5767,0.0054
36,streamcluster,0:01:33,0.0046,0.4486,0.0042
38,streamcluster,0:01:28,0.0044,0.4330,0.0040
40,streamcluster,0:01:37,0.0049,0.4777,0.0044
42,streamcluster,0:01:31,0.0046,0.4520,0.0042
44,streamcluster,0:01:34,0.0048,0.4684,0.0044
46,streamcluster,0:01:33,0.0048,0.4687,0.0044
48,streamcluster,0:01:46,0.0054,0.5303,0.0049
