Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:57,0.0126,1.2425,0.0116
4,streamcluster,0:03:09,0.0070,0.6919,0.0064
6,streamcluster,0:02:21,0.0055,0.5396,0.0050
8,streamcluster,0:02:15,0.0054,0.5297,0.0049
10,streamcluster,0:02:14,0.0055,0.5403,0.0050
12,streamcluster,0:02:14,0.0056,0.5499,0.0051
14,streamcluster,0:02:14,0.0057,0.5582,0.0052
16,streamcluster,0:02:15,0.0057,0.5638,0.0052
18,streamcluster,0:02:15,0.0058,0.5711,0.0053
20,streamcluster,0:02:15,0.0058,0.5706,0.0053
22,streamcluster,0:02:16,0.0058,0.5700,0.0053
24,streamcluster,0:02:16,0.0058,0.5736,0.0053
26,streamcluster,0:02:15,0.0059,0.5833,0.0054
28,streamcluster,0:02:15,0.0061,0.5951,0.0055
30,streamcluster,0:02:11,0.0060,0.5905,0.0055
32,streamcluster,0:02:08,0.0060,0.5948,0.0055
34,streamcluster,0:02:03,0.0059,0.5809,0.0054
36,streamcluster,0:01:33,0.0046,0.4497,0.0042
38,streamcluster,0:01:34,0.0047,0.4629,0.0043
40,streamcluster,0:01:36,0.0048,0.4721,0.0044
42,streamcluster,0:01:28,0.0045,0.4441,0.0041
44,streamcluster,0:01:38,0.0049,0.4843,0.0045
46,streamcluster,0:01:36,0.0049,0.4828,0.0045
48,streamcluster,0:01:32,0.0048,0.4683,0.0044
