Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:57,0.0126,1.2412,0.0115
4,streamcluster,0:03:09,0.0070,0.6900,0.0064
6,streamcluster,0:02:21,0.0055,0.5381,0.0050
8,streamcluster,0:02:14,0.0054,0.5271,0.0049
10,streamcluster,0:02:14,0.0055,0.5391,0.0050
12,streamcluster,0:02:14,0.0055,0.5457,0.0051
14,streamcluster,0:02:14,0.0056,0.5549,0.0052
16,streamcluster,0:02:15,0.0058,0.5661,0.0053
18,streamcluster,0:02:15,0.0058,0.5740,0.0053
20,streamcluster,0:02:15,0.0057,0.5634,0.0052
22,streamcluster,0:02:16,0.0058,0.5738,0.0053
24,streamcluster,0:02:16,0.0058,0.5723,0.0053
26,streamcluster,0:02:16,0.0060,0.5861,0.0055
28,streamcluster,0:02:15,0.0060,0.5852,0.0054
30,streamcluster,0:02:13,0.0061,0.5995,0.0056
32,streamcluster,0:02:09,0.0061,0.5978,0.0056
34,streamcluster,0:01:59,0.0057,0.5627,0.0052
36,streamcluster,0:01:45,0.0052,0.5073,0.0047
38,streamcluster,0:01:32,0.0046,0.4476,0.0042
40,streamcluster,0:01:36,0.0048,0.4722,0.0044
42,streamcluster,0:01:34,0.0048,0.4693,0.0044
44,streamcluster,0:01:44,0.0052,0.5094,0.0047
46,streamcluster,0:01:33,0.0047,0.4656,0.0043
48,streamcluster,0:01:34,0.0048,0.4763,0.0044
