Treads|Time|Energy|CO2eq|travelled
2|0:01:32|0,0068|3,2489|0,0302
4|0:00:53|0,0042|2,0024|0,0186
6|0:00:44|0,0037|1,7617|0,0164
8|0:00:45|0,0040|1,8827|0,0175
10|0:00:41|0,0038|1,8052|0,0168
12|0:00:44|0,0042|2,0120|0,0187
14|0:00:47|0,0046|2,1949|0,0204
16|0:00:48|0,0049|2,3174|0,0216
18|0:00:49|0,0051|2,4077|0,0224
20|0:00:53|0,0056|2,6399|0,0246
22|0:00:58|0,0062|2,9248|0,0272
24|0:00:56|0,0061|2,9100|0,0271
26|0:01:03|0,0069|3,2907|0,0306
28|0:01:07|0,0073|3,4533|0,0321
30|0:01:07|0,0074|3,5046|0,0326
32|0:01:11|0,0078|3,6906|0,0343
34|0:01:12|0,0079|3,7514|0,0349
36|0:01:14|0,0082|3,8756|0,0361
38|0:01:18|0,0086|4,0701|0,0379
40|0:01:18|0,0086|4,0850|0,0380
42|0:01:19|0,0088|4,1636|0,0387
44|0:01:25|0,0095|4,4957|0,0418
46|0:01:29|0,0099|4,6856|0,0436
48|0:01:30|0,0100|4,7568|0,0442
