Treads|Time|Energy|CO2eq|travelled
2|0:04:16|0,0186|8,8526|0,0823
4|0:03:05|0,0144|6,8601|0,0638
6|0:02:44|0,0134|6,3672|0,0592
8|0:02:36|0,0132|6,2918|0,0585
10|0:02:30|0,0132|6,2473|0,0581
12|0:02:28|0,0131|6,2278|0,0579
14|0:02:05|0,0115|5,4783|0,0510
16|0:01:49|0,0106|5,0321|0,0468
18|0:01:36|0,0098|4,6326|0,0431
20|0:01:27|0,0092|4,3523|0,0405
22|0:01:15|0,0083|3,9511|0,0368
24|0:01:13|0,0082|3,8964|0,0362
26|0:01:23|0,0092|4,3628|0,0406
28|0:01:25|0,0094|4,4878|0,0417
30|0:01:30|0,0100|4,7324|0,0440
32|0:01:31|0,0100|4,7568|0,0442
34|0:01:33|0,0102|4,8653|0,0453
36|0:01:40|0,0108|5,1533|0,0479
38|0:01:31|0,0101|4,7946|0,0446
40|0:01:24|0,0094|4,4670|0,0416
42|0:01:24|0,0094|4,4589|0,0415
44|0:01:16|0,0086|4,0685|0,0378
46|0:01:16|0,0086|4,0694|0,0379
48|0:01:13|0,0082|3,8920|0,0362
