Treads|Time|Energy|CO2eq|travelled
2|0:01:39|0,0041|1,9497|0,0181
4|0:01:02|0,0028|1,3394|0,0125
6|0:00:50|0,0025|1,1653|0,0108
8|0:00:45|0,0023|1,1119|0,0103
10|0:00:43|0,0023|1,1056|0,0103
12|0:00:42|0,0024|1,1292|0,0105
14|0:00:41|0,0024|1,1603|0,0108
16|0:00:41|0,0025|1,1997|0,0112
18|0:00:41|0,0026|1,2394|0,0115
20|0:00:40|0,0026|1,2563|0,0117
22|0:00:40|0,0027|1,3007|0,0121
24|0:00:37|0,0026|1,2352|0,0115
26|0:00:35|0,0025|1,1933|0,0111
28|0:00:32|0,0024|1,1312|0,0105
30|0:00:30|0,0023|1,0897|0,0101
32|0:00:28|0,0022|1,0505|0,0098
34|0:00:27|0,0022|1,0465|0,0097
36|0:00:25|0,0022|1,0234|0,0095
38|0:00:24|0,0020|0,9709|0,0090
40|0:00:23|0,0021|0,9945|0,0093
42|0:00:22|0,0021|0,9980|0,0093
44|0:00:21|0,0021|0,9971|0,0093
46|0:00:23|0,0022|1,0593|0,0099
48|0:00:24|0,0023|1,0705|0,0100
50|0:00:24|0,0022|1,0685|0,0099
52|0:00:24|0,0023|1,0702|0,0100
54|0:00:25|0,0023|1,0891|0,0101
56|0:00:25|0,0023|1,0915|0,0102
58|0:00:25|0,0023|1,0984|0,0102
60|0:00:26|0,0023|1,1035|0,0103
62|0:00:27|0,0024|1,1188|0,0104
64|0:00:27|0,0024|1,1310|0,0105
66|0:00:27|0,0024|1,1348|0,0106
68|0:00:26|0,0024|1,1342|0,0106
70|0:00:26|0,0024|1,1366|0,0106
72|0:00:25|0,0024|1,1167|0,0104
74|0:00:25|0,0023|1,1095|0,0103
76|0:00:25|0,0023|1,1110|0,0103
78|0:00:23|0,0023|1,0806|0,0101
80|0:00:23|0,0023|1,0875|0,0101
82|0:00:23|0,0023|1,0720|0,0100
84|0:00:22|0,0023|1,0708|0,0100
86|0:00:21|0,0022|1,0604|0,0099
88|0:00:21|0,0022|1,0446|0,0097
