Treads|Time|Energy|CO2eq|travelled
2|0:04:56|0,0101|4,7835|0,0445
4|0:02:52|0,0062|2,9495|0,0274
6|0:02:12|0,0053|2,4985|0,0232
8|0:01:52|0,0049|2,3278|0,0217
10|0:01:41|0,0048|2,2740|0,0212
12|0:01:15|0,0046|2,1953|0,0204
14|0:01:05|0,0043|2,0245|0,0188
16|0:01:00|0,0041|1,9494|0,0181
18|0:00:52|0,0038|1,8203|0,0169
20|0:00:48|0,0037|1,7708|0,0165
22|0:01:03|0,0045|2,1485|0,0200
24|0:01:01|0,0044|2,1088|0,0196
26|0:01:00|0,0044|2,0686|0,0192
28|0:00:59|0,0044|2,0980|0,0195
30|0:00:59|0,0044|2,1037|0,0196
32|0:00:55|0,0043|2,0329|0,0189
34|0:00:52|0,0033|1,5719|0,0146
36|0:00:50|0,0040|1,9064|0,0177
38|0:00:47|0,0039|1,8323|0,0170
40|0:00:45|0,0038|1,7907|0,0167
