Treads|Time|Energy|CO2eq|travelled
2|0:04:55|0,0100|4,7698|0,0444
4|0:02:52|0,0063|2,9718|0,0276
6|0:02:12|0,0053|2,4956|0,0232
8|0:01:52|0,0049|2,3214|0,0216
10|0:01:40|0,0048|2,2637|0,0211
12|0:01:16|0,0046|2,1897|0,0204
14|0:01:06|0,0043|2,0403|0,0190
16|0:00:58|0,0040|1,9013|0,0177
18|0:00:52|0,0038|1,8229|0,0170
20|0:00:48|0,0037|1,7734|0,0165
22|0:01:03|0,0045|2,1464|0,0200
24|0:01:02|0,0045|2,1252|0,0198
26|0:00:59|0,0044|2,0839|0,0194
28|0:00:59|0,0044|2,0924|0,0195
30|0:00:58|0,0044|2,0918|0,0195
32|0:00:53|0,0042|1,9797|0,0184
34|0:00:52|0,0041|1,9508|0,0181
36|0:00:49|0,0039|1,8719|0,0174
38|0:00:46|0,0038|1,8175|0,0169
40|0:00:45|0,0038|1,7829|0,0166
