Treads,time_seconds,Time,Energy,CO2eq,travelled
2,292.90,0:04:55,0.0100,4.7700,0.0444
4,171.31,0:02:52,0.0062,2.9634,0.0276
6,131.15,0:02:12,0.0053,2.4947,0.0232
8,111.35,0:01:52,0.0049,2.3067,0.0215
10,100.21,0:01:41,0.0048,2.2794,0.0212
12,74.91,0:01:15,0.0046,2.2042,0.0205
14,64.70,0:01:05,0.0043,2.0385,0.0190
16,56.70,0:00:57,0.0040,1.8983,0.0177
18,51.41,0:00:52,0.0038,1.8243,0.0170
20,48.25,0:00:49,0.0038,1.8068,0.0168
22,61.74,0:01:02,0.0045,2.1470,0.0200
24,61.36,0:01:02,0.0045,2.1569,0.0201
26,59.87,0:01:00,0.0045,2.1198,0.0197
28,58.27,0:00:59,0.0044,2.0946,0.0195
30,58.69,0:00:59,0.0045,2.1360,0.0199
32,53.36,0:00:54,0.0042,1.9972,0.0186
34,51.16,0:00:52,0.0041,1.9405,0.0181
36,48.97,0:00:49,0.0040,1.8872,0.0176
38,46.60,0:00:47,0.0039,1.8336,0.0171
40,44.59,0:00:45,0.0037,1.7572,0.0163
