Treads|Time|Energy|CO2eq|travelled
2|0:04:53|0,0099|1,4103|0,0131
4|0:02:52|0,0061|0,8605|0,0080
6|0:02:12|0,0052|0,7397|0,0069
8|0:01:52|0,0049|0,6934|0,0065
10|0:01:41|0,0048|0,6815|0,0063
12|0:01:16|0,0047|0,6636|0,0062
14|0:01:04|0,0042|0,6003|0,0056
16|0:00:58|0,0040|0,5709|0,0053
18|0:00:52|0,0038|0,5394|0,0050
20|0:00:48|0,0037|0,5313|0,0049
22|0:01:02|0,0045|0,6339|0,0059
24|0:01:01|0,0044|0,6207|0,0058
26|0:01:01|0,0045|0,6310|0,0059
28|0:00:59|0,0043|0,6134|0,0057
30|0:00:58|0,0044|0,6234|0,0058
32|0:00:54|0,0041|0,5838|0,0054
34|0:00:51|0,0040|0,5710|0,0053
36|0:00:49|0,0039|0,5551|0,0052
38|0:00:47|0,0038|0,5399|0,0050
40|0:00:46|0,0038|0,5322|0,0050
