Treads|Execution Time|Time|Energy|CO2eq|travelled
1|77,999364|0:01:18|0,0017|0,2405|0,0022
2|53,559672|0:00:54|0,0012|0,1741|0,0016
3|46,405885|0:00:46|0,0011|0,1539|0,0014
4|42,811004|0:00:43|0,0010|0,1404|0,0013
5|41,587718|0:00:42|0,0010|0,1378|0,0013
6|41,049652|0:00:41|0,0009|0,1334|0,0012
7|41,077892|0:00:41|0,0009|0,1340|0,0012
8|40,973677|0:00:41|0,0009|0,1344|0,0013
9|43,782148|0:00:44|0,0010|0,1482|0,0014
10|42,828797|0:00:43|0,0010|0,1461|0,0014
11|42,358068|0:00:42|0,0010|0,1453|0,0014
12|41,941174|0:00:42|0,0010|0,1449|0,0013
13|41,794354|0:00:42|0,0010|0,1439|0,0013
14|41,878046|0:00:42|0,0010|0,1449|0,0013
15|41,911953|0:00:42|0,0010|0,1455|0,0014
16|42,602514|0:00:43|0,0011|0,1515|0,0014
