Treads|Execution Time|Time|Energy|CO2eq|travelled
1|78,867307|0:01:19|0,0021|0,2943|0,0027
2|54,095890|0:00:54|0,0015|0,2110|0,0020
3|46,707797|0:00:47|0,0013|0,1853|0,0017
4|42,991675|0:00:43|0,0012|0,1684|0,0016
5|41,683772|0:00:42|0,0012|0,1635|0,0015
6|41,089821|0:00:41|0,0011|0,1580|0,0015
7|41,346250|0:00:41|0,0011|0,1624|0,0015
8|41,184675|0:00:41|0,0011|0,1619|0,0015
9|44,065173|0:00:44|0,0012|0,1717|0,0016
10|43,135302|0:00:43|0,0010|0,1483|0,0014
11|42,448150|0:00:42|0,0012|0,1707|0,0016
12|42,067700|0:00:42|0,0012|0,1710|0,0016
13|42,078675|0:00:42|0,0012|0,1722|0,0016
14|42,127203|0:00:42|0,0012|0,1724|0,0016
15|42,223363|0:00:42|0,0012|0,1732|0,0016
16|42,266926|0:00:42|0,0012|0,1733|0,0016
