 Time in seconds    Time  Energy  CO2eq  km travelled by car  Treads
           67,77 0:01:12  0,0048 0,6823               0,0063       4
           48,72 0:00:51  0,0039 0,5502               0,0051       8
           38,63 0:00:40  0,0036 0,5172               0,0048      12
           29,26 0:00:30  0,0030 0,4273               0,0040      16
           23,90 0:00:25  0,0028 0,3924               0,0037      20
           29,35 0:00:30  0,0032 0,4491               0,0042      24
           30,61 0:00:32  0,0032 0,4605               0,0043      28
           29,82 0:00:31  0,0032 0,4595               0,0043      32
           27,09 0:00:28  0,0031 0,4344               0,0040      36
           24,62 0:00:25  0,0029 0,4116               0,0038      40
