Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cfd,118176.747,0:01:58,0.0041,1.9861,0.0185
4,cfd,60155.477,0:01:00,0.0022,1.0614,0.0099
6,cfd,40670.871,0:00:41,0.0016,0.7488,0.0070
8,cfd,31006.390,0:00:31,0.0012,0.5922,0.0055
10,cfd,25703.984,0:00:26,0.0011,0.5149,0.0048
12,cfd,21538.303,0:00:22,0.0009,0.4422,0.0041
14,cfd,18605.879,0:00:19,0.0008,0.3991,0.0037
16,cfd,16515.067,0:00:17,0.0008,0.3634,0.0034
18,cfd,14709.515,0:00:15,0.0007,0.3333,0.0031
20,cfd,13659.012,0:00:14,0.0006,0.3104,0.0029
22,cfd,12626.664,0:00:13,0.0006,0.2914,0.0027
24,cfd,11588.971,0:00:12,0.0005,0.2617,0.0024
26,cfd,10956.019,0:00:11,0.0005,0.2495,0.0023
28,cfd,10383.218,0:00:10,0.0005,0.2531,0.0024
30,cfd,9742.965,0:00:10,0.0005,0.2445,0.0023
32,cfd,9120.546,0:00:09,0.0005,0.2240,0.0021
34,cfd,8827.206,0:00:09,0.0004,0.2163,0.0020
36,cfd,8485.028,0:00:08,0.0005,0.2277,0.0021
38,cfd,8324.575,0:00:08,0.0005,0.2279,0.0021
40,cfd,7963.812,0:00:08,0.0005,0.2232,0.0021
42,cfd,7620.594,0:00:08,0.0004,0.2147,0.0020
44,cfd,7520.003,0:00:08,0.0004,0.2118,0.0020
46,cfd,7191.309,0:00:07,0.0004,0.1981,0.0018
48,cfd,7230.131,0:00:07,0.0004,0.2012,0.0019
