Treads,App,Time,Energy,CO2eq,travelled
2,kmeans,250.1192,0.0088,2.5417,0.0236
4,kmeans,125.3702,0.0046,1.3433,0.0125
6,kmeans,83.8605,0.0033,0.9442,0.0088
8,kmeans,63.0439,0.0026,0.7475,0.007
10,kmeans,51.0545,0.0022,0.6276,0.0058
12,kmeans,43.3821,0.0019,0.6241,0.0058
14,kmeans,37.2513,0.0017,0.5588,0.0052
16,kmeans,32.6783,0.0015,0.5034,0.0047
18,kmeans,29.2332,0.0014,0.472,0.0044
20,kmeans,27.0098,0.0013,0.4386,0.0041
22,kmeans,24.707,0.0012,0.397,0.0037
24,kmeans,22.9104,0.0011,0.3539,0.0033
26,kmeans,21.3925,0.0011,0.3505,0.0033
28,kmeans,19.7427,0.001,0.3346,0.0031
30,kmeans,18.6468,0.001,0.3253,0.003
32,kmeans,17.3558,0.001,0.3137,0.0029
34,kmeans,16.5582,0.0009,0.308,0.0029
36,kmeans,15.5114,0.0009,0.2954,0.0027
38,kmeans,14.8989,0.0009,0.2897,0.0027
40,kmeans,14.003,0.0009,0.2805,0.0026
42,kmeans,13.5638,0.0009,0.2463,0.0023
44,kmeans,12.7914,0.0008,0.2346,0.0022
46,kmeans,12.476,0.0008,0.2298,0.0021
48,kmeans,11.787,0.0008,0.2174,0.002
