Treads|Time|Energy|CO2eq|travelled
2|0:01:29|0,0065|3,0730|0,0286
4|0:00:53|0,0042|1,9936|0,0185
6|0:00:45|0,0038|1,7935|0,0167
8|0:00:45|0,0039|1,8692|0,0174
10|0:00:44|0,0041|1,9244|0,0179
12|0:00:43|0,0041|1,9624|0,0183
14|0:00:47|0,0046|2,1786|0,0203
16|0:00:47|0,0047|2,2369|0,0208
18|0:00:51|0,0052|2,4888|0,0232
20|0:00:54|0,0056|2,6703|0,0248
22|0:00:53|0,0057|2,7050|0,0252
24|0:00:55|0,0060|2,8636|0,0266
26|0:01:05|0,0071|3,3704|0,0314
28|0:01:06|0,0072|3,4213|0,0318
30|0:01:13|0,0080|3,7869|0,0352
32|0:01:10|0,0077|3,6547|0,0340
34|0:01:17|0,0084|3,9929|0,0371
36|0:01:17|0,0085|4,0209|0,0374
38|0:01:16|0,0084|3,9683|0,0369
40|0:01:23|0,0092|4,3605|0,0406
42|0:01:19|0,0087|4,1350|0,0385
44|0:01:23|0,0092|4,3585|0,0405
46|0:01:29|0,0098|4,6672|0,0434
48|0:01:36|0,0106|5,0540|0,0470
