Treads|Execution Time|Time|Energy|CO2eq|travelled
2|2,48960|0:00:02|0,0002|0,0936|0,0009
4|1,17555|0:00:01|0,0001|0,0467|0,0004
6|0,80046|0:00:01|0,0000|0,0000|0,0000
8|0,67726|0:00:01|0,0000|0,0000|0,0000
10|0,60898|0:00:01|0,0000|0,0000|0,0000
12|0,59621|0:00:01|0,0000|0,0000|0,0000
14|0,43314|0:00:00|0,0000|0,0000|0,0000
16|0,45449|0:00:00|0,0000|0,0000|0,0000
18|0,47033|0:00:00|0,0000|0,0000|0,0000
20|0,44138|0:00:00|0,0000|0,0000|0,0000
22|0,45685|0:00:00|0,0000|0,0000|0,0000
24|0,40141|0:00:00|0,0000|0,0000|0,0000
26|0,56146|0:00:01|0,0001|0,0257|0,0002
28|0,60830|0:00:01|0,0000|0,0000|0,0000
30|0,51987|0:00:01|0,0000|0,0000|0,0000
32|0,40845|0:00:00|0,0000|0,0000|0,0000
34|0,49943|0:00:01|0,0000|0,0000|0,0000
36|0,60137|0:00:01|0,0000|0,0000|0,0000
38|0,62749|0:00:01|0,0000|0,0000|0,0000
40|0,61863|0:00:01|0,0000|0,0000|0,0000
42|0,59464|0:00:01|0,0000|0,0000|0,0000
44|0,53362|0:00:01|0,0000|0,0000|0,0000
46|0,52997|0:00:01|0,0000|0,0000|0,0000
48|0,53519|0:00:01|0,0000|0,0000|0,0000
