Treads|Execution Time|Time|Energy|CO2eq|travelled
1|8,77007|0:00:09|0,0002|0,0271|0,0003
2|4,36191|0:00:04|0,0001|0,0143|0,0001
3|3,11447|0:00:03|0,0001|0,0108|0,0001
4|2,19700|0:00:02|0,0001|0,0081|0,0001
5|1,81016|0:00:02|0,0000|0,0070|0,0001
6|1,89738|0:00:02|0,0001|0,0074|0,0001
7|1,35971|0:00:01|0,0000|0,0057|0,0001
8|1,16217|0:00:01|0,0000|0,0051|0,0000
9|2,02580|0:00:02|0,0001|0,0080|0,0001
10|1,86140|0:00:02|0,0001|0,0075|0,0001
11|1,68707|0:00:02|0,0000|0,0069|0,0001
12|1,54703|0:00:02|0,0000|0,0064|0,0001
13|1,55477|0:00:02|0,0000|0,0065|0,0001
14|1,40702|0:00:01|0,0000|0,0060|0,0001
15|1,25237|0:00:01|0,0000|0,0054|0,0001
16|1,27050|0:00:01|0,0000|0,0055|0,0001
