Treads|Execution Time|Time|Energy|CO2eq|travelled
1|8,84075|0:00:09|0,0002|0,0321|0,0003
2|4,48719|0:00:04|0,0001|0,0171|0,0002
3|3,10213|0:00:03|0,0001|0,0125|0,0001
4|2,21765|0:00:02|0,0001|0,0094|0,0001
5|1,86187|0:00:02|0,0001|0,0081|0,0001
6|1,55440|0:00:02|0,0001|0,0071|0,0001
7|1,38014|0:00:01|0,0000|0,0065|0,0001
8|1,25284|0:00:01|0,0000|0,0061|0,0001
9|2,02338|0:00:02|0,0001|0,0090|0,0001
10|1,85810|0:00:02|0,0001|0,0085|0,0001
11|1,74247|0:00:02|0,0001|0,0080|0,0001
12|1,57703|0:00:02|0,0001|0,0073|0,0001
13|1,47896|0:00:01|0,0000|0,0069|0,0001
14|1,35270|0:00:01|0,0000|0,0064|0,0001
15|1,25844|0:00:01|0,0000|0,0062|0,0001
16|1,23471|0:00:01|0,0000|0,0060|0,0001
