Treads|Execution Time|Time|Energy|CO2eq|travelled
2|2,33343|0:00:02|0,0002|0,0869|0,0008
4|1,21320|0:00:01|0,0001|0,0483|0,0004
6|0,85500|0:00:01|0,0001|0,0355|0,0003
8|0,69958|0:00:01|0,0000|0,0000|0,0000
10|0,58721|0:00:01|0,0000|0,0000|0,0000
12|0,52124|0:00:01|0,0000|0,0000|0,0000
14|0,49977|0:00:01|0,0000|0,0000|0,0000
16|0,43624|0:00:00|0,0000|0,0000|0,0000
18|0,53066|0:00:01|0,0000|0,0000|0,0000
20|0,44361|0:00:00|0,0000|0,0000|0,0000
22|0,40273|0:00:00|0,0000|0,0000|0,0000
24|0,35994|0:00:00|0,0000|0,0000|0,0000
26|0,55611|0:00:01|0,0000|0,0000|0,0000
28|0,54238|0:00:01|0,0000|0,0000|0,0000
30|0,49560|0:00:01|0,0000|0,0000|0,0000
32|0,47456|0:00:00|0,0000|0,0000|0,0000
34|0,50052|0:00:01|0,0000|0,0000|0,0000
36|0,54733|0:00:01|0,0000|0,0000|0,0000
38|0,64793|0:00:01|0,0000|0,0000|0,0000
40|0,61021|0:00:01|0,0000|0,0000|0,0000
42|0,59976|0:00:01|0,0000|0,0000|0,0000
44|0,57971|0:00:01|0,0000|0,0000|0,0000
46|0,51661|0:00:01|0,0000|0,0000|0,0000
48|0,66445|0:00:01|0,0000|0,0000|0,0000
