Treads|Time|Energy|CO2eq|travelled
2|0:00:45|0,0014|0,6701|0,0062
4|0:00:24|0,0010|0,4630|0,0043
6|0:00:18|0,0007|0,3376|0,0031
8|0:00:14|0,0006|0,2963|0,0028
10|0:00:13|0,0006|0,2869|0,0027
12|0:00:13|0,0006|0,2828|0,0026
14|0:00:12|0,0006|0,2892|0,0027
16|0:00:12|0,0006|0,2937|0,0027
18|0:00:11|0,0003|0,1566|0,0015
20|0:00:12|0,0006|0,3062|0,0028
22|0:00:12|0,0006|0,3052|0,0028
24|0:00:12|0,0003|0,1562|0,0015
26|0:00:12|0,0003|0,1569|0,0015
28|0:00:11|0,0003|0,1529|0,0014
30|0:00:12|0,0007|0,3215|0,0030
32|0:00:11|0,0003|0,1445|0,0013
34|0:00:12|0,0007|0,3181|0,0030
36|0:00:12|0,0003|0,1544|0,0014
38|0:00:11|0,0003|0,1494|0,0014
40|0:00:12|0,0007|0,3232|0,0030
