Treads|Time|Energy|CO2eq|travelled
1|0:04:06|0,0064|0,9008|0,0084
2|0:02:23|0,0038|0,5442|0,0051
3|0:01:39|0,0028|0,3933|0,0037
4|0:01:21|0,0024|0,3341|0,0031
5|0:01:09|0,0021|0,2913|0,0027
6|0:00:59|0,0018|0,2568|0,0024
7|0:00:55|0,0017|0,2453|0,0023
8|0:00:49|0,0016|0,2233|0,0021
9|0:01:10|0,0022|0,3093|0,0029
10|0:01:07|0,0021|0,2966|0,0028
11|0:01:05|0,0020|0,2904|0,0027
12|0:01:01|0,0020|0,2779|0,0026
13|0:00:59|0,0019|0,2727|0,0025
14|0:00:58|0,0019|0,2697|0,0025
15|0:00:58|0,0019|0,2725|0,0025
16|0:00:58|0,0019|0,2759|0,0026
