Treads|Execution Time|Time|Energy|CO2eq|travelled
2|61,08214|0:01:01|0,0026|1,2308|0,0114
4|33,83545|0:00:34|0,0016|0,7683|0,0071
6|24,65785|0:00:25|0,0013|0,6120|0,0057
8|20,00304|0:00:20|0,0011|0,5138|0,0048
10|18,65532|0:00:19|0,0011|0,5033|0,0047
12|17,73920|0:00:18|0,0010|0,4965|0,0046
14|18,31883|0:00:18|0,0011|0,5214|0,0048
16|17,49138|0:00:18|0,0011|0,5177|0,0048
18|18,56404|0:00:19|0,0012|0,5491|0,0051
20|17,07186|0:00:17|0,0011|0,5340|0,0050
22|17,92558|0:00:18|0,0012|0,5772|0,0054
24|17,75466|0:00:18|0,0012|0,5757|0,0054
26|17,45830|0:00:17|0,0012|0,5756|0,0054
28|16,78609|0:00:17|0,0012|0,5650|0,0053
30|18,88007|0:00:19|0,0013|0,6103|0,0057
32|17,79796|0:00:18|0,0013|0,6182|0,0058
34|18,68501|0:00:19|0,0014|0,6550|0,0061
36|18,90576|0:00:19|0,0014|0,6461|0,0060
38|18,96015|0:00:19|0,0014|0,6715|0,0062
40|19,30091|0:00:19|0,0014|0,6747|0,0063
42|18,95503|0:00:19|0,0014|0,6872|0,0064
44|19,87270|0:00:20|0,0014|0,6720|0,0063
46|20,33983|0:00:20|0,0015|0,7255|0,0067
48|19,85358|0:00:20|0,0015|0,7182|0,0067
50|19,52386|0:00:20|0,0015|0,7158|0,0067
52|19,14802|0:00:19|0,0015|0,7011|0,0065
54|19,74129|0:00:20|0,0016|0,7380|0,0069
56|18,72064|0:00:19|0,0015|0,7141|0,0066
58|18,01029|0:00:18|0,0015|0,7111|0,0066
60|17,02448|0:00:17|0,0014|0,6882|0,0064
62|17,49566|0:00:18|0,0015|0,7090|0,0066
64|17,11037|0:00:17|0,0015|0,7106|0,0066
66|16,81150|0:00:17|0,0015|0,6920|0,0064
68|16,95939|0:00:17|0,0015|0,7144|0,0066
70|16,51351|0:00:17|0,0014|0,6826|0,0063
72|16,70836|0:00:17|0,0015|0,7024|0,0065
74|17,50094|0:00:18|0,0015|0,7320|0,0068
76|17,01908|0:00:17|0,0015|0,7074|0,0066
78|17,07125|0:00:17|0,0015|0,7057|0,0066
80|17,50568|0:00:18|0,0016|0,7432|0,0069
82|16,60457|0:00:17|0,0015|0,7079|0,0066
84|17,21138|0:00:17|0,0015|0,7341|0,0068
86|17,45822|0:00:17|0,0016|0,7447|0,0069
88|17,83525|0:00:18|0,0016|0,7620|0,0071
