Treads,time_seconds,Time,Energy,CO2eq,travelled
2,56.77,0:01:03,0.0048,2.2570,0.0210
4,43.62,0:00:47,0.0037,1.7672,0.0164
6,42.06,0:00:45,0.0037,1.7723,0.0165
8,41.73,0:00:44,0.0037,1.7800,0.0166
10,42.15,0:00:44,0.0039,1.8552,0.0173
12,42.58,0:00:45,0.0040,1.9189,0.0179
14,37.12,0:00:39,0.0036,1.7332,0.0161
16,32.67,0:00:34,0.0033,1.5800,0.0147
18,29.33,0:00:31,0.0031,1.4832,0.0138
20,26.34,0:00:28,0.0029,1.3910,0.0129
22,23.83,0:00:25,0.0028,1.3236,0.0123
24,22.57,0:00:24,0.0027,1.2901,0.0120
26,24.05,0:00:25,0.0028,1.3407,0.0125
28,25.32,0:00:27,0.0030,1.4103,0.0131
30,27.02,0:00:28,0.0031,1.4823,0.0138
32,27.65,0:00:29,0.0032,1.5091,0.0140
34,28.85,0:00:30,0.0033,1.5552,0.0145
36,29.70,0:00:31,0.0033,1.5851,0.0147
38,28.62,0:00:30,0.0033,1.5491,0.0144
40,27.53,0:00:29,0.0032,1.5148,0.0141
42,25.89,0:00:27,0.0031,1.4559,0.0135
44,24.30,0:00:26,0.0029,1.3794,0.0128
46,23.08,0:00:24,0.0028,1.3326,0.0124
48,22.10,0:00:23,0.0027,1.2707,0.0118
