Treads|Time|Energy|CO2eq|travelled
2|0:01:48|0,0044|2,0933|0,0195
4|0:01:07|0,0031|1,4713|0,0137
6|0:00:49|0,0024|1,1463|0,0107
8|0:00:42|0,0022|1,0348|0,0096
10|0:00:37|0,0020|0,9655|0,0090
12|0:00:34|0,0019|0,8975|0,0083
14|0:00:34|0,0020|0,9455|0,0088
16|0:00:32|0,0020|0,9345|0,0087
18|0:00:32|0,0020|0,9430|0,0088
20|0:00:30|0,0019|0,9183|0,0085
22|0:00:30|0,0020|0,9506|0,0088
24|0:00:29|0,0020|0,9454|0,0088
26|0:00:31|0,0022|1,0260|0,0095
28|0:00:30|0,0021|1,0117|0,0094
30|0:00:32|0,0023|1,1126|0,0104
32|0:00:32|0,0024|1,1490|0,0107
34|0:00:34|0,0027|1,2602|0,0117
36|0:00:32|0,0025|1,2079|0,0112
38|0:00:33|0,0026|1,2548|0,0117
40|0:00:36|0,0030|1,4062|0,0131
42|0:00:35|0,0030|1,4441|0,0134
44|0:00:36|0,0032|1,5063|0,0140
46|0:00:39|0,0035|1,6430|0,0153
48|0:00:40|0,0036|1,7047|0,0159
50|0:00:42|0,0037|1,7599|0,0164
52|0:00:41|0,0037|1,7644|0,0164
54|0:00:43|0,0039|1,8422|0,0171
56|0:00:43|0,0039|1,8683|0,0174
58|0:00:43|0,0040|1,8856|0,0175
60|0:00:44|0,0041|1,9359|0,0180
62|0:00:45|0,0042|1,9896|0,0185
64|0:00:45|0,0042|1,9938|0,0185
66|0:00:46|0,0044|2,0870|0,0194
68|0:00:46|0,0044|2,0861|0,0194
70|0:00:49|0,0047|2,2172|0,0206
72|0:00:48|0,0046|2,1717|0,0202
74|0:00:49|0,0047|2,2213|0,0207
76|0:00:50|0,0048|2,2998|0,0214
78|0:00:51|0,0049|2,3436|0,0218
80|0:00:51|0,0049|2,3416|0,0218
82|0:00:53|0,0052|2,4585|0,0229
84|0:00:52|0,0051|2,4234|0,0225
86|0:00:53|0,0052|2,4547|0,0228
88|0:00:56|0,0055|2,5922|0,0241
