Treads|Execution Time|Time|Energy|CO2eq|travelled
2|62,85408|0:01:03|0,0027|1,2646|0,0118
4|33,71607|0:00:34|0,0016|0,7681|0,0071
6|24,26215|0:00:24|0,0013|0,6012|0,0056
8|19,93411|0:00:20|0,0011|0,5156|0,0048
10|18,19591|0:00:18|0,0010|0,4907|0,0046
12|19,53805|0:00:20|0,0011|0,5322|0,0050
14|17,58303|0:00:18|0,0011|0,5091|0,0047
16|16,33312|0:00:16|0,0010|0,4844|0,0045
18|17,17005|0:00:17|0,0011|0,5186|0,0048
20|17,07066|0:00:17|0,0011|0,5281|0,0049
22|17,03854|0:00:17|0,0012|0,5472|0,0051
24|16,64302|0:00:17|0,0011|0,5391|0,0050
26|17,95895|0:00:18|0,0012|0,5934|0,0055
28|19,02477|0:00:19|0,0013|0,6133|0,0057
30|17,45795|0:00:17|0,0012|0,5914|0,0055
32|18,61191|0:00:19|0,0014|0,6436|0,0060
34|18,34628|0:00:18|0,0013|0,6409|0,0060
36|18,40419|0:00:18|0,0014|0,6584|0,0061
38|18,18810|0:00:18|0,0014|0,6618|0,0062
40|19,63395|0:00:20|0,0014|0,6837|0,0064
42|18,94739|0:00:19|0,0014|0,6887|0,0064
44|19,05454|0:00:19|0,0014|0,6618|0,0062
46|19,90879|0:00:20|0,0016|0,7477|0,0070
48|19,30136|0:00:19|0,0015|0,6997|0,0065
50|19,59228|0:00:20|0,0015|0,7083|0,0066
52|19,27050|0:00:19|0,0015|0,7069|0,0066
54|18,78950|0:00:19|0,0015|0,7113|0,0066
56|18,03122|0:00:18|0,0015|0,6930|0,0064
58|17,84901|0:00:18|0,0015|0,7036|0,0065
60|18,23003|0:00:18|0,0015|0,7224|0,0067
62|17,33195|0:00:17|0,0015|0,7000|0,0065
64|17,97948|0:00:18|0,0015|0,7203|0,0067
66|17,33008|0:00:17|0,0015|0,7104|0,0066
68|17,67709|0:00:18|0,0015|0,7107|0,0066
70|16,43299|0:00:16|0,0014|0,6822|0,0063
72|17,14357|0:00:17|0,0015|0,7042|0,0066
74|17,36319|0:00:17|0,0015|0,7229|0,0067
76|16,36240|0:00:16|0,0015|0,6942|0,0065
78|17,71442|0:00:18|0,0016|0,7452|0,0069
80|17,22609|0:00:17|0,0015|0,7300|0,0068
82|16,76187|0:00:17|0,0015|0,7021|0,0065
84|17,47529|0:00:17|0,0016|0,7442|0,0069
86|17,13101|0:00:17|0,0015|0,7315|0,0068
88|15,73032|0:00:16|0,0014|0,6690|0,0062
