Treads|Time|Energy|CO2eq|travelled
2|0:04:13|0,0101|4,7899|0,0446
4|0:02:25|0,0064|3,0309|0,0282
6|0:01:50|0,0052|2,4544|0,0228
8|0:01:34|0,0046|2,2084|0,0205
10|0:01:22|0,0043|2,0275|0,0189
12|0:01:14|0,0041|1,9392|0,0180
14|0:01:09|0,0040|1,8920|0,0176
16|0:01:04|0,0039|1,8626|0,0173
18|0:01:01|0,0039|1,8379|0,0171
20|0:00:58|0,0039|1,8313|0,0170
22|0:00:56|0,0039|1,8337|0,0171
24|0:00:50|0,0037|1,7686|0,0165
26|0:00:45|0,0035|1,6542|0,0154
28|0:00:41|0,0033|1,5783|0,0147
30|0:00:39|0,0032|1,5339|0,0143
32|0:00:36|0,0031|1,4553|0,0135
34|0:00:33|0,0029|1,3794|0,0128
36|0:00:32|0,0029|1,3573|0,0126
38|0:00:30|0,0028|1,3229|0,0123
40|0:00:28|0,0027|1,2930|0,0120
42|0:00:27|0,0027|1,2930|0,0120
44|0:00:27|0,0028|1,3091|0,0122
46|0:00:33|0,0032|1,5180|0,0141
48|0:00:33|0,0032|1,5068|0,0140
50|0:00:33|0,0032|1,5119|0,0141
52|0:00:32|0,0032|1,4966|0,0139
54|0:00:33|0,0032|1,5396|0,0143
56|0:00:32|0,0032|1,5254|0,0142
58|0:00:32|0,0031|1,4961|0,0139
60|0:00:32|0,0032|1,5194|0,0141
62|0:00:32|0,0032|1,5304|0,0142
64|0:00:32|0,0032|1,5176|0,0141
66|0:00:32|0,0032|1,5256|0,0142
68|0:00:30|0,0031|1,4700|0,0137
70|0:00:30|0,0031|1,4625|0,0136
72|0:00:30|0,0031|1,4779|0,0137
74|0:00:29|0,0030|1,4406|0,0134
76|0:00:28|0,0030|1,4158|0,0132
78|0:00:27|0,0029|1,3807|0,0128
80|0:00:27|0,0029|1,3631|0,0127
82|0:00:27|0,0029|1,3749|0,0128
84|0:00:27|0,0029|1,3582|0,0126
86|0:00:27|0,0029|1,3630|0,0127
88|0:00:25|0,0027|1,2805|0,0119
